"Winnenden" (48.8764, 9.3978) 28339
"Bad Neuenahr-Ahrweiler" (50.5447, 7.1133) 28251
"Grimma" (51.2386, 12.7253) 28180
"Wegberg" (51.1333, 6.2667) 28175
"Geislingen an der Steige" (48.6244, 9.8306) 28122
"Konigsbrunn" (48.2689, 10.8908) 28076
"Henstedt-Ulzburg" (53.7833, 10.0000) 28070
"Meißen" (51.1636, 13.4775) 28044
"Leichlingen" (51.1167, 7.0167) 28031
"Kevelaer" (51.5833, 6.2500) 28021
"Zeitz" (51.0478, 12.1383) 27955
"Emmendingen" (48.1214, 7.8492) 27882
"Blankenfelde" (52.3500, 13.4000) 27837
"Sundern" (51.3167, 8.0000) 27802
"Baunatal" (51.2589, 9.4183) 27750
"Reinbek" (53.5089, 10.2483) 27649
"Mechernich" (50.6000, 6.6500) 27598
"Hattersheim" (50.0697, 8.4862) 27590
"Wetter (Ruhr)" (51.3881, 7.3950) 27441
"Griesheim" (49.8594, 8.5525) 27435
"Arnstadt" (50.8342, 10.9464) 27304
"Aschersleben" (51.7500, 11.4667) 27220
"Geilenkirchen" (50.9653, 6.1194) 27214
"Rheinbach" (50.6256, 6.9491) 27063
"Overath" (50.9328, 7.2839) 27040
"Baesweiler" (50.9000, 6.1833) 27033
"Leimen" (49.3481, 8.6911) 26968
"Wangen im Allgau" (47.6858, 9.8342) 26905
"Schloß Holte-Stukenbrock" (51.8833, 8.6167) 26776
"Lohne" (52.6667, 8.2386) 26762
"Wiesloch" (49.2942, 8.6983) 26758
"Hamminkeln" (51.7319, 6.5908) 26739
"Strausberg" (52.5808, 13.8814) 26587
"Lauf" (49.5103, 11.2772) 26515
"Neckarsulm" (49.1917, 9.2244) 26492
"Heiligenhaus" (51.3265, 6.9710) 26335
"Sangerhausen" (51.4667, 11.3000) 26297
"Hennigsdorf" (52.6378, 13.2036) 26272
"Ehingen an der Donau" (48.2833, 9.7236) 26259
"Butzbach" (50.4367, 8.6622) 26197
"Nordenham" (53.5000, 8.4667) 26193
"Hohen Neuendorf" (52.6667, 13.2831) 26159
"Ludwigsfelde" (52.2997, 13.2667) 26112
"Muhlacker" (48.9500, 8.8392) 26076
"Heppenheim" (49.6415, 8.6450) 26023
"Selm" (51.6833, 7.4833) 26011
"Weiterstadt" (49.9000, 8.6000) 25975
"Pfaffenhofen" (48.5333, 11.5167) 25917
"Kulmbach" (50.1000, 11.4333) 25915
"Sankt Wendel" (49.4667, 7.1667) 25862
"Teltow" (52.4022, 13.2706) 25825
"Bad Honnef am Rhein" (50.6450, 7.2269) 25816
"Helmstedt" (52.2281, 11.0106) 25728
"Bingen am Rhein" (49.9669, 7.8950) 25659
"Achern" (48.6314, 8.0739) 25630
"Zirndorf" (49.4500, 10.9500) 25596
"Roth" (49.2461, 11.0911) 25593
"Lennestadt" (51.1236, 8.0681) 25503
"Verl" (51.8831, 8.5167) 25498
"Lindau" (47.5458, 9.6839) 25490
"Lubbecke" (52.3081, 8.6231) 25490
"Rinteln" (52.1906, 9.0814) 25484
"Brilon" (51.3956, 8.5678) 25417
"Staßfurt" (51.8667, 11.5667) 25385
"Zittau" (50.8961, 14.8072) 25381
"Plettenberg" (51.2128, 7.8715) 25318
"Groß-Gerau" (49.9214, 8.4818) 25302
"Schleswig" (54.5153, 9.5697) 25276
"Geretsried" (47.8667, 11.4667) 25275
"Rottweil" (48.1681, 8.6247) 25274
"Friedrichsdorf" (50.2569, 8.6418) 25194
"Petershagen" (52.3833, 8.9667) 25168
"Pfungstadt" (49.8056, 8.6044) 25151
"Bad Oldesloe" (53.8117, 10.3742) 24744
"Olpe" (51.0289, 7.8514) 24688
"Rathenow" (52.6000, 12.3333) 24309
"Senftenberg" (51.5167, 14.0167) 24275
"Meiningen" (50.5500, 10.4167) 24233
"Waldshut-Tiengen" (47.6231, 8.2144) 24226
"Sonneberg" (50.3500, 11.1667) 23830
